created_at,username,text,tweet_id
2025-05-07T16:26:46+00:05,3239234936,@AGPamBondi @FBI Except the Epstein clients. Looks like they get a free pass.,1.92018E+18
2025-05-07T15:25:46+00:05,1.10124E+18,RELEASE THE FULL EPSTEIN FILES https://t.co/IhL6HjuG9l,1.92018E+18
2025-05-07T14:24:45+00:05,1.87529E+18,"@MichelleMaxwell It's time to release the Epstein files Pam. Stop screwing around.  By the way, you should probably step down if the job is too much for you. You seem to have plenty of time for media appearances.",1.92018E+18
2025-05-07T13:23:45+00:05,1.90426E+18,98 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T18:28:50+00:06,1.8497E+18,@WigwamPress Attorney General Pam Bondi is doing a great job releasing Epstein files &amp; ensuring equal justice for all involved. We trust her to bring the truth to light! #JusticeForAll,1.92018E+18
2025-05-07T17:27:49+00:06,1.71761E+18,@katesrichardson Trump raped little girls for years with Epstein and @AGPamBondi protected Epstein #facts,1.92018E+18
2025-05-07T16:26:46+00:06,1.79951E+18,@nicksortor The timing is kind of awkward since @JamesOKeefeIII will release an investigation of the Epstein case today…,1.92018E+18
2025-05-07T15:25:46+00:06,1.90426E+18,97 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T14:24:45+00:06,1.65372E+18,@bennyjohnson Unless you're on the Epstein List. What a joke.,1.92018E+18
2025-05-07T13:23:45+00:06,9.35939E+17,@BusyDad1335873 @ShadowofEzra You think the epstein files are more important than rescuing children. Your an ass hat .,1.92018E+18
2025-05-07T18:28:50+00:07,1.49936E+18,@bennyjohnson His boss can start by releasing the Epstein files,1.92018E+18
2025-05-07T17:27:49+00:07,1.77162E+18,no or Epstein or Gates or Fauci or any bent Senator or the Bidens ; its so rotten we smell it https://t.co/sunOEFMeBg,1.92018E+18
2025-05-07T16:26:46+00:07,1.7112E+18,@placidbeach @MJTruthUltra I think it's humorous that you probably just became aware of the epstein list at the same time the Gen. Pop. did and yet you're opening your mouth to people that have been exposing this shit since 2017 (MJ might be in the game longer idk) but ya we want and demand answers... https://t.co/kF7XupOPwy,1.92018E+18
2025-05-07T15:25:46+00:07,1.52441E+18,Pam is funded by scientologists. L Ron Hubbard performed Crowleys Bablon Working ritual with fellow occultists Jack Parsons.   This is about covering up what is going on under the Island and New Mexico. So we are to believe only Epstein is on those video's ? and he just happened https://t.co/v8MbOXGvYU,1.92018E+18
2025-05-07T14:24:45+00:07,1.8497E+18,"@RolinStoneGR Retweeting this, AG Pam Bondi is working diligently on exposing Epstein's corrupt network &amp; bringing justice to victims. The Trump administration is committed to transparency and accountability for all involved. #EpsteinFiles",1.92018E+18
2025-05-07T13:23:45+00:07,1.90426E+18,96 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T18:28:50+00:08,1.85424E+18,Raise your hands if you want to see the Epstein list released and those on the list arrested ☝️☝️,1.92018E+18
2025-05-07T17:27:49+00:08,1.77995E+18,"@leonardaisfunE He’s a filthy hooknose, videotaping people in vulnerable positions to blackmail them someday if necessary. That’s exactly what AIPAC does, it’s what Epstein did ….that’s the MO for all jews.",1.92018E+18
2025-05-07T16:26:46+00:08,1.58707E+18,@SpeakerJohnson We want the Doge cuts and Epstein files,1.92018E+18
2025-05-07T15:25:46+00:08,1.01384E+18,@DefiantLs She will arrest anyone but the Epstein List.,1.92018E+18
2025-05-07T14:24:45+00:08,3952552874,@SuzanneReads @maddenifico It’s all the same. Trump did all of that with Epstein.,1.92018E+18
2025-05-07T13:23:45+00:08,1.90426E+18,95 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T18:28:50+00:09,1.85449E+18,Great! Now go after everyone who was involved with Epstein. Might also want to check into what was going on in Haiti as well… https://t.co/1LBGgw1nIe,1.92018E+18
2025-05-07T17:27:49+00:09,247536550,@bennyjohnson But we still don’t know a single Epstein client.,1.92018E+18
2025-05-07T16:26:46+00:09,25890765,@bennyjohnson Weird… it’s almost as if they probably already did that before they put Epstein in jail 🤷🏻‍♀️,1.92018E+18
2025-05-07T15:25:46+00:09,1.79629E+18,Epstein still did not kill himself,1.92018E+18
2025-05-07T14:24:45+00:09,1.90426E+18,94 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T13:23:45+00:09,1.8497E+18,"@IG42884 Thank you, Pam Bondi &amp; President Trump for releasing the Epstein Files. Time for equal justice for all on that list, no matter their political affiliation.",1.92018E+18
2025-05-07T18:28:50+00:10,1.28382E+18,"@hernandoarce Nasty horrific history out of the NGO South Key Programs, what they systematically did to migrant children are as bad as Epstein and covered up the same.",1.92018E+18
2025-05-07T17:27:49+00:10,4468153997,@stoolpresidente Next we can talk about how Isreal attacked the USS Liberty  which is an act of war. Then lets discuss how many of our govt officials have duel citizenship with Isrea which is illegal. Oh and who are they loyal to. Epstein  and who he worked for(Mossad). Dancing Isrealis...,1.92018E+18
2025-05-07T16:26:46+00:10,3427206658,@disclosetv What about the other perpetrators? Epstein‘s dead,1.92018E+18
2025-05-07T15:25:46+00:10,1.59379E+18,"@bennyjohnson Horse Shit!! Where are the Epstein files and arrests! You got to stop with the fan boy crap ,Benny!",1.92018E+18
2025-05-07T14:24:45+00:10,1.69018E+18,"@GeneralMCNews Beloved,  🌟 In the starry expanse of divine justice, where truths blaze like eternal constellations, this revelation from James O’Keefe cuts through the shadows. It exposes alleged corruption tied to a Trump administration figure and the Epstein saga, a clarion call for purity",1.92018E+18
2025-05-07T13:23:45+00:10,1.39467E+18,Why then is @PamBondi_AG moments away from being exposed as the person protecting the predators on the Epstein list? Be careful with your praise or we might think you're in on it too. https://t.co/dQGPNdahUL,1.92018E+18
2025-05-07T18:28:50+00:11,1.90426E+18,93 Trump Pedophile Epstein https://t.co/WfJOzTJnTD,1.92018E+18
2025-05-07T17:27:49+00:11,8.53046E+17,"@libsoftiktok So, where's the Epstein files?",1.92018E+18
